price,Brand,Processor,Generation,RAM,ROM,Graphic Card
49998,DELL,Intel Core i5,12th Gen,16 GB,512 GB SSD,0
39990,DELL,Ryzen 5,,8 GB,512 GB SSD,0
40999,DELL,Ryzen 3,,8 GB,512 GB SSD,0
53990,HP,Ryzen 5,,16 GB,512 GB SSD,0
75990,HP,Intel Core i5,13th Gen,16 GB,512 GB SSD,0
69000,Lenovo,Intel Core i5,12th Gen,16 GB,512 GB SSD,0
51900,Lenovo,Intel Core i3,13th Gen,8 GB,512 GB SSD,0
22990,Acer,Intel Celeron Dual Core,,8 GB,512 GB SSD,0
21990,Acer,Intel Celeron Dual Core,,8 GB,512 GB SSD,0
52990,ASUS,Intel Core i5,11th Gen,16 GB,1 TB HDD,0
65999,HP,Ryzen 5,,16 GB,512 GB SSD,4 GB Graphics/NVIDIA GeForce RTX 
49990,ASUS,Intel Core i5,11th Gen,8 GB,512 GB SSD,4 GB Graphics/NVIDIA GeForce RTX 
38990,ASUS,Ryzen 3,,8 GB,512 GB SSD,0
54290,HP,Ryzen 5,,8 GB,512 GB SSD,0
49190,Lenovo,Intel Core i5,12th Gen,8 GB,512 GB SSD,0
34990,HP,Intel Core i3,12th Gen,8 GB,512 GB SSD,0
40599,DELL,Ryzen 3,,8 GB,512 GB SSD,0
38990,ASUS,Ryzen 3,,8 GB,512 GB SSD,0
69990,HP,Ryzen 5,,16 GB,512 GB SSD,0
67990,ASUS,Intel Core i5,12th Gen,16 GB,512 GB SSD,0
69490,HP,Intel Core i5,13th Gen,16 GB,512 GB SSD,0
38190,Lenovo,Ryzen 5,,8 GB,512 GB SSD,0
